"","Song","lyrics"
"1","Initialisation","Bienvenue  programme Trinity  Veuillez composer votre code personnel trois chiffres afin accéder votre interface  Authentification cours  Accès autorisé  Initialisation programme Trinity"
"2","MEGATRON"," yeux  gens  ja  soleil près  voisDe montrer chemin rallumer flamme  éteint  doisTu  loin lois     soir  étoile  noirTu  loin  demain reviens loin   vraiment choix   Augmente pression  pression  Augmente pression Augmente pression  pression  Augmente pression      éléphant  on  toujours  fort  raison Éteins toutes télévisions  fuck représentation missionIls chaud    saison    cabine  réseauFais trop comparaisons ramène flow   dernière livraison Baby  chant  pouvoir offrir  ChanelBien   sa allait niquer tait  question années Tout  char    lames rasoir  écharpe  sorti cartes    tous quitté table merde    Augmente pression  pression  Augmente pression Augmente pression  pression  Augmente pression   ouais bien   jeune tisse revient Celui  chaud   Fran  achète album marche  revente  arrêteplein  périph  loin  bien DigitalMundo    Year date  hier  peux trouer boule  yeuzMes niggas font  secoue tête  banquette arrièreMais    faute dire      niquer  viennentnous contrôle  fils immigrés  terrain minéOh   mande nt   terminer     trouver paix Shit connais  limites limites   mande nt  terminer yeux  gens  ja  soleil près  voisDe montrer chemin rallumer flamme  éteint  doisTu  loin lois     soir  étoile  noirTu  loin  demain reviens loin   vraiment choix augmente pression "
"3","DEHORS DANS LA NIGHT"," Partie   produit Mingo   Wunda   soirs quitte on juste  voir quel point  sombreDehors pleut  toutes saisons  tête sous     Claque porte   seize juste  voir quel point  sombre Dehors  monde perd raison  tête brûlée   Minuit passé traîne ceux dealent  rues  ville alibi  chercher biff vérité    cherche juste vivreComme Affranchis   mecs frais  films connais classiques      graphiqueMe reconnais  têtes défilent  peus Maman     différent voit  gueule  casting  Mais   facile mettre bien avant  nous   expliquer nt       ressent  nt dire   Donc sors soir deux bois goulot toute liqueur Pour avoir     juste   euxJ confronte    savoir   fond cris font hausser    dehors   plein motherfuck   soirs quitte on juste  voir quel point  sombreDehors pleut  toutes saisons  tête sous     Claque porte   seize juste  voir quel point  sombre Dehors monde perd raison  tête brûlée   Partie   produit KOBAYASHI     Dans night Solo   Jeune tisse  night Solo    seul soir soirées sont éclatéesMe parle        déplacéJ blanc noir même   placer Toujoursgalère  jeune tisse  nightJ pense bails  mettre money  side  mettre bouche messagerie Mais trop    seul  nightEst    vrai    pète câble    gens aiment     foutent  Pourquoi vois toujours monde blanc noir   Pourquoi  Toujours     reste place   espace seul dingue  plaît laisse Dans night Solo   Jeune tisse  night Solo   Trinity Vous semblez mélancolique soir diriez vous  programme entraînement   Territoire   extérieur  Conditions climatiques   excellentes  Programme pilotage haute vitesse   enclenché"
"4","HILLZ","  vallée roule  contrôlé   yeux rouges Elles   elles  rien foutreYeah yeah yeah yeah  fucked fucked bitch Yeah yeah yeah yeah  fuck     lice   mélo   tête    Viens tour  hills  laisse passer vitesses Deux mille euros  veste tournée   complet fais    plait rais tuer concu    avoue   ja croisé    essayent décrypter nts  euros demande nt descends pente schuss      news    temps  lose blanche  Canada Goose  blanco dois   fisc donne ja blaze Tout   risque  risque      fight  vallée roule  contrôlé   yeux rouges Elles   elles  rien foutreYeah yeah yeah yeah  fucked fucked bitch Yeah yeah yeah  fuck     lice          Quatre grammes       nous joues négro  attrape  tifs  terrain  pros fois vingt balles  shoes  rodav   caisse Injection botox  fesse nous cherches connais adresse Comme   maladresse pétasse  tire  tresse   stupéfiants  veste sens parfum  pièceCoke  shit  rien elles veulent çaChristian Dior  Givenchy  designer sont sapesY  assez places assises  trop reufs assises serviette  playa  faut remercier    vallée roule  contrôlé   yeux rouges Elles   elles  rien foutreYeah yeah yeah yeah  fucked fucked bitch Yeah yeah yeah yeah  fuck      vallée roule  contrôlé   yeux rouges Elles   elles  rien foutreYeah yeah yeah yeah  fucked fucked Yeah yeah yeah yeah  fuck       Noir     oublié  demander    meuf autre soir   blonde sa allais kiffer     blonde autre discrète  elle spéciale elle  Trinity"
"5","PLUG","   déjà dehors  avait toutes copines étais fond  noir étais fond  vice adéfis vivre ayeux  vide Yeah Bébé neuf   Monte  chop  partons     sachets   sacs  Pour      volonté   demande   peine     voudrais  enlève latex Tellement péchés ciel tomber  tête Quand  fais confiance           eyes  Dans club trop loups Shawty  fais gaffe     passe dessous Hier soir    boîte sans dessus  sans dessous Laisse enlever habits  ascenseur émotions planent apesanteur money   time peux patienter   déjà dehors  avait toutes copines étais fond  noir étais fond  vice adéfis vivre ayeux  vide Yeah Bébé neuf   Monte  chop  partons     sachets   sacs  Pour      volonté       Mais  étais    appeler   plaît  viens prendre    plaît chez Versace  chez Louis dépense  viens chercher  force      voit  pose fesses  ture Roule jeune   bosse   misère vouvoie    Côte Ivoire Terre peine provisoire fais monnaie fume  bois   prie  prends   Bébé neuf   Monte  chop  partons     sachets   sacs  Pour      volonté   déjà dehors   avait toutes copines étais fond  noir étais fond  vice adéfis vivre ayeux  vide Yeah "
"6","Menu principal","Interaction niveau   Taux compatibilité élevé  Mode stimulation émotionnelle   mélancolie  tristesse  adrénaline  violence  Choix confirmé"
"7","PIRANHA BABY","  Chut  piranha baby  hémoglobine  Levis sûrement nouveau love  bouffer  prévu  fuck  Plus rien fêter  piranha baby Ramène gars  rien péter  bouffer  prévu    Violent  colon change hémisphère   pète  check négros éméchés   club  juste  billet  yeah Parle   étais hier réponds téléphone prépayé  yeah Elle  charme    charbon    vibe vaudou Chacun couplets  albumdouble Piranha baby cœur peut réchauffer très vite  attends moins  sévir  deux fois  chaud agressif Bitch naked arrive fond  celui  pris  liquide rester piges donc augmente pression chiffres  appétit    Chut  piranha baby  fuck   hémoglobine  Levis  bouffer  prévu   rien fêter  piranha baby Ramène gars  rien péter  fuck Thomas  enlève autotune  plaît fais semblant  aime  paire fake   Misent  jeune métisse ambitieux grave  BACqueux     queTrente  billets  plaque  impact   attaque  fais passe ehNuméro neuf  ciudad  ramène gavas coup part aura  culpa      coupable concurrence devrait rester assise  très  mots doux courtoisie Toute critique sous ecstasy attend  sympathie Digitalmundo         fini combo    Amène vielles meufs flex  ouais tombeur  skurt  Comment tiens  déjà blèmes surmonter Elle  gueule  ja  aime toujours    cigale encore chanter   quête vérité  bloquée  teille Mets nous whisky  Peaky  Blinders crois  passer voir paki Mais inquiète tranquille  toutes cicatrices maquillent Même celles  coeur tous actes manqués         soin pleurer heures gard rais  rancœur  milieu écœure  toujours dalle   époque  rappais moins bien  Chut  piranha baby  hémoglobine  Levis sûrement nouveau love  bouffer  prévu  fuck  Plus rien fêter  piranha baby Ramène gars  rien péter  bouffer  prévu    Trinity Taux compatibilité critique vous attends  parking"
"8","TRINITYVILLE","   Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle prête  elle  parking Pleins phares  pleine lune  Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle chauffe  elle chauffe cœur cœur  parking Pleins phares  pleine lune  ville   Ramène   caisse  ramène   caisseTrinity  matrice  elle    latex  flex  Elle voudrait   blesse  elle  Très tard soir  appelle  après casser puce Jeune  toujours  temps  temps surfe   français   jambes  jambes   vision devient rouge  devient rouge  Quand change mood pétasse casse tour casse tour sors tour trop déter  prends tous     juste  mala passe tour  ouais passe tour  Business avant roule  cœur écrase    Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle prête  elle  parking Pleins phares  pleine lune  yeah yeah  Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle chauffe chauffes cœur cœur  parking Pleins phares  pleine lune   recompte lovés      love moiOn connait depuis      année  promis élever niveau level  bossé  never  fils immigré  grève  vivre tranquillement  Lamborghini manque  pilote soixante ansFlammes  yeux        fais   flex    développement durable apprendre  chercher frappe      bien  pire  numéro   équipe Chaque nouveau projet drift   adrénalineJ rais ja aimer jusqu  infini rais ja aimer jusqu  infini Pourquoi insérer    Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle prête  elle  parking Pleins phares  pleine lune  yeah yeah  Pleins phares  pleine lune  ville Flamme sort   échappement  navigue Elle chauffe cœur  parking Pleins phares  pleine lune  ville"
"9","Mieux vaut pas regarder, Pt. 1"," nobody understands   Trinity Radio   Music   generation    Mendiant monsieur  monsieur  vous plaît  monsieur  vous auriez   tite pièce  ticket restaurant   Attendez minute"
"10","VAMONOS","      Mieux garder  garder Mieux garder vérité blesse Mieux garder  garder Mieux garder       Vaut mieux regarder  elle  jambes écartées  interdit moins seize  moins mots   moins sens loin    ancêtres Juste face   enfers   affaires  répété frère Regarde trop assiettes autres  elles toujours  pleines  fuck   mienne Tous rêves ados miettes réaliser mieux Fuck frère toujours chien    ressaisir ciao Mieuxtrop   ciel  réponse  vant yeux Rien foutre être  bien monde   garder price  étiquette  guette tête mecs  sécurité     seum   être leurs femmes trompent regarder misère monde  fond      être bien bosse  cartel colombien     pleurent    autres  rêvent    bats couilles  liasse  familia  puis Vamonos Frérot  plaît reste fiable  joue  mafieux    phone enflamme  bitch  enflamme  vieux contrat vingt mille Tout   rien       Sers          sachet Cette life  coup schlass  tâché sweat Versace donne  smile reste garder caché Vérité  Mieux garder  garder Mieux garder vérité blesse Mieux garder  garder Mieux garder      Vingt unième Vingt unième  gens   cœur   poumons   foieTrop messages privés  dois  garder mission  gérer  prude  vois  géré celle  voulais peux regarder  peux   voir prixmieux  garder   plaît achètepull deux fois  heinJe quoi  pèze fier  verbe  faudrait  bêtes sons pètent Faudrait   fils paye dettes  père dois assurer tant chef  fief sirote   pètent       chutent  Niagara   mouille    fous  gardien frère  frère    bats couilles Flingo liasse  familia  puis  allons  trucs tape  oeil  diams sentent sang    styleJ  combat civique  Honda Civic  négro   vite Tout   rien      diable croyait avoir  méchante Marianne croyait avoir  collège   aime suivre aime être suivi  cuisine  audio crack coupé seize blaze sera placardé    prime vois ceux triment  aime  garder   carte    carte  survie  frime   capté Mieux garder"
